Date,new deaths
12/16/2020,51
12/17/2020,44
12/18/2020,45
12/19/2020,45
12/20/2020,27
12/21/2020,44
12/22/2020,50
12/23/2020,56
12/24/2020,55
12/25/2020,50
12/26/2020,58
12/27/2020,39
12/28/2020,54
12/29/2020,43
12/30/2020,65
12/31/2020,46
1/1/2021,54
1/2/2021,34
1/3/2021,51
1/4/2021,56
1/5/2021,64
1/6/2021,72
1/7/2021,66
1/8/2021,75
1/9/2021,64
1/10/2021,48
1/11/2021,50
1/12/2021,51
1/13/2021,88
1/14/2021,82
1/15/2021,65
1/16/2021,66
1/17/2021,55
1/18/2021,47
1/19/2021,99
1/20/2021,96
1/21/2021,87
1/22/2021,105
1/23/2021,84
1/24/2021,65
1/25/2021,74
1/26/2021,94
1/27/2021,109
1/28/2021,90
1/29/2021,94
1/30/2021,108
1/31/2021,68
2/1/2021,72
2/2/2021,118
2/3/2021,108
2/4/2021,115
2/5/2021,108
2/6/2021,95
2/7/2021,57
2/8/2021,81
2/9/2021,81
2/10/2021,121
2/11/2021,96
2/12/2021,75
2/13/2021,63
2/14/2021,40
2/15/2021,63
2/16/2021,87
2/17/2021,94
2/18/2021,78
2/19/2021,59
2/20/2021,84
2/21/2021,57
2/22/2021,55
2/23/2021,55
2/24/2021,63
2/25/2021,75
2/26/2021,85
2/27/2021,53
2/28/2021,27
3/1/2021,46
3/2/2021,51
3/3/2021,68
3/4/2021,67
3/5/2021,59
3/6/2021,49
3/7/2021,26
3/8/2021,46
3/9/2021,54
3/10/2021,49
3/11/2021,49
3/12/2021,58
3/13/2021,51
3/14/2021,30
3/15/2021,32
3/16/2021,56
3/17/2021,39
3/18/2021,41
3/19/2021,32
3/20/2021,22
3/21/2021,23
3/22/2021,26
3/23/2021,47
3/24/2021,30
3/25/2021,29
3/26/2021,31
3/27/2021,32
3/28/2021,30
3/29/2021,25
3/30/2021,27
3/31/2021,49
4/1/2021,23
4/2/2021,28
4/3/2021,8
4/4/2021,10
4/5/2021,18
4/6/2021,30
4/7/2021,22
4/8/2021,33
4/9/2021,19
4/10/2021,29
4/11/2021,18
4/12/2021,25
4/13/2021,44
4/14/2021,31
